Car Make/Model,Year,Daily Rental Price ($),Fuel Type,Transmission,Availability,Location,Image
Ford Focus,2014,193,Petrol,Manual,Available,Seattle,https://via.placeholder.com/300x200.png?text=Ford+Focus
Kia Optima,2012,158,Diesel,Automatic,Available,Miami,https://via.placeholder.com/300x200.png?text=Kia+Optima
Dodge Charger,2021,87,Petrol,Manual,Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Dodge+Charger
Honda Civic,2020,105,Hybrid,Automatic,Not Available,Boston,https://via.placeholder.com/300x200.png?text=Honda+Civic
Audi A4,2019,85,Diesel,Manual,Not Available,Houston,https://via.placeholder.com/300x200.png?text=Audi+A4
Tesla Model 3,2010,128,Petrol,Manual,Available,Los Angeles,https://via.placeholder.com/300x200.png?text=Tesla+Model+3
Chevrolet Camaro,2017,126,Petrol,Automatic,Available,Boston,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Chevrolet Camaro,2015,35,Electric,Manual,Not Available,Houston,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Dodge Charger,2018,52,Electric,Manual,Not Available,San Francisco,https://via.placeholder.com/300x200.png?text=Dodge+Charger
Chevrolet Malibu,2011,141,Electric,Automatic,Available,Miami,https://via.placeholder.com/300x200.png?text=Chevrolet+Malibu
Volkswagen Jetta,2015,175,Hybrid,Manual,Not Available,San Francisco,https://via.placeholder.com/300x200.png?text=Volkswagen+Jetta
Toyota Corolla,2021,131,Diesel,Automatic,Not Available,Seattle,https://via.placeholder.com/300x200.png?text=Toyota+Corolla
Mazda 3,2010,32,Diesel,Automatic,Not Available,Seattle,https://via.placeholder.com/300x200.png?text=Mazda+3
Honda Civic,2019,178,Hybrid,Manual,Available,San Francisco,https://via.placeholder.com/300x200.png?text=Honda+Civic
Volkswagen Jetta,2012,50,Hybrid,Automatic,Not Available,San Francisco,https://via.placeholder.com/300x200.png?text=Volkswagen+Jetta
Mercedes-Benz C-Class,2020,165,Petrol,Automatic,Not Available,New York,https://via.placeholder.com/300x200.png?text=Mercedes-Benz+C-Class
Chevrolet Camaro,2022,71,Hybrid,Automatic,Available,Boston,https://via.placeholder.com/300x200.png?text=Chevrolet+Camaro
Honda Civic,2020,51,Electric,Automatic,Not Available,Boston,https://via.placeholder.com/300x200.png?text=Honda+Civic
BMW 3 Series,2021,32,Diesel,Manual,Available,New York,https://via.placeholder.com/300x200.png?text=BMW+3+Series
Kia Optima,2023,45,Petrol,Manual,Available,Atlanta,https://via.placeholder.com/300x200.png?text=Kia+Optima
Tesla Model 3,2017,120,Electric,Manual,Available,Miami,https://via.placeholder.com/300x200.png?text=Tesla+Model+3
Volkswagen Jetta,2014,106,Electric,Manual,Available,New York,https://via.placeholder.com/300x200.png?text=Volkswagen+Jetta
Ford Mustang,2014,72,Electric,Manual,Available,Chicago,https://via.placeholder.com/300x200.png?text=Ford+Mustang
BMW 3 Series,2023,49,Diesel,Automatic,Available,Chicago,https://via.placeholder.com/300x200.png?text=BMW+3+Series
Mazda 3,2019,52,Electric,Manual,Available,Las Vegas,https://via.placeholder.com/300x200.png?text=Mazda+3
Chevrolet Malibu,2010,165,Electric,Manual,Available,Seattle,https://via.placeholder.com/300x200.png?text=Chevrolet+Malibu
